id,Menu,SubMenu,SubSubMenu,Coordenada,OrdenDeSecuencia,Comando,LoopDeProceso
44,Config,Tabla de Secuencias,None,91,1,FormAltaQtSQL-v2.py TablaDeSecuencias,1
45,System,Date,None,11,1,date,2
47,Test,Loop 6 veces,None,31,1,./tests/test1.py,6
48,Test,Escribir archivo,None,32,1,./tests/test3.py random.txt,1
50,Config,Variables Globales,None,92,1,FormAltaQtSQL-v2.py VariablesGlobales,1
52,Config,BackUp MySQL,None,93,1,,1
54,System,Ping,None,12,1,ping 127.0.0.1,1
55,System,Ping,None,12,2,ping google.com,1
